invocation_id,timestamp,entity,model_name,start_time,end_time,duration,status,message,thread_info
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:14:28.405167Z,asset_class,stg_asset_class,2026-02-09T09:14:28.405167,2026-02-09T09:15:08.253444,39.85,MODEL_END,Completed stg_asset_class,Thread-1 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:08.253444Z,asset_class,stg_asset_class,2026-02-09T09:14:28.405167,2026-02-09T09:15:08.253444,39.85,OK,OK - stg_asset_class,Thread-1 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:14:28.405167Z,asset_class,stg_asset_class_raw,2026-02-09T09:14:28.405167,2026-02-09T09:15:24.653453,56.25,MODEL_END,Completed stg_asset_class_raw,Thread-2 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:24.653453Z,asset_class,stg_asset_class_raw,2026-02-09T09:14:28.405167,2026-02-09T09:15:24.653453,56.25,OK,OK - stg_asset_class_raw,Thread-2 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:14:28.405167Z,order,stg_order,2026-02-09T09:14:28.405167,2026-02-09T09:15:12.390484,43.99,MODEL_END,Completed stg_order,Thread-3 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:12.390484Z,order,stg_order,2026-02-09T09:14:28.405167,2026-02-09T09:15:12.390484,43.99,OK,OK - stg_order,Thread-3 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:14:28.405167Z,position_identifier,stg_position_identifier,2026-02-09T09:14:28.405167,2026-02-09T09:15:26.414311,58.01,MODEL_END,Completed stg_position_identifier,Thread-4 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:26.414311Z,position_identifier,stg_position_identifier,2026-02-09T09:14:28.405167,2026-02-09T09:15:26.414311,58.01,OK,OK - stg_position_identifier,Thread-4 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:08.253444Z,avq_user,stg_avq_user,2026-02-09T09:15:08.253444,2026-02-09T09:16:10.476038,62.22,MODEL_END,Completed stg_avq_user,Thread-1 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:16:10.476038Z,avq_user,stg_avq_user,2026-02-09T09:15:08.253444,2026-02-09T09:16:10.476038,62.22,OK,OK - stg_avq_user,Thread-1 (worker)
33e6eab6-e8bb-4c90-a755-09e36b73da8a,2026-02-09T09:15:12.390484Z,avq_collat,stg_avq_collat,2026-02-09T09:15:12.390484,2026-02-09T09:16:25.570254,73.18,MODEL_END,Completed stg_avq_collat,Thread-3 (worker)
